,Unnamed: 0,Subject,Session,Block,CorrectResponse,event,finalRT,firstACC,firstRESP,measured_RT,TrialType,PCode,TripC,TT,epoch,choice,spatial_distance,direction_right,tworep,t_0,repetition,error,posterror,high_triplet,trigram,event_t0,event_t-1,event_t-2,error_type,pattern error,correct response repetition,incorrect response repetition,other error,recency error,distance_from_last_unigram,distance_from_last_trigram,event_bigram,event_trigram,choice_t-1,choice_t-2,choice_bigram,choice_trigram,e_to_e_distance_from_last_unigram,e_to_e_distance_from_last_bigram,e_to_e_distance_from_last_trigram,e_to_c_distance_from_last_unigram,e_to_c_distance_from_last_bigram,e_to_c_distance_from_last_trigram,c_to_e_distance_from_last_unigram,c_to_e_distance_from_last_bigram,c_to_e_distance_from_last_trigram,c_to_c_distance_from_last_unigram,c_to_c_distance_from_last_bigram,c_to_c_distance_from_last_trigram,high_triplet_choice,new_high_triplet_choice,HCRP_choice,HCRP_pred_prob,HCRP_pred_prob_1,HCRP_pred_prob_2,HCRP_pred_prob_3,HCRP_pred_prob_4,HCRP_context_importance_0,HCRP_context_importance_1,HCRP_context_importance_2,HCRP_context_importance_3,HCRP_seat_odds_0,HCRP_seat_odds_1,HCRP_seat_odds_2,HCRP_seat_odds_3,triplet_pred_prob,new_triplet_pred_prob,distance,HCRP,intercept_component,distance_component,repetition_component,error_component,posterror_component,HCRP_component,low-level + HCRP,triplet,low-level + triplet,new_triplet,low-level + new_triplet,train_mask,test_mask
14875,14875,101,12,1,b,3,345,1,b,345,Prac,5,XXX,X,1,3,0,1,0,3.0,1,0,0,0,333.0,3.0,3.0,3.0,,,,,,,0.0,,33,333,3.0,4.0,33,433,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,1,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.125,,271.67476242913654,296.61584991575967,209.1460929203135,0.0,2.1690614003030078,-0.0,0.0,66.27553455487981,277.5906888754963,305.7066666666667,288.8479821346531,,,False,False
14876,14876,101,12,1,b,3,228,1,b,228,Prac,5,XXX,X,1,3,0,1,0,3.0,1,0,0,0,333.0,3.0,3.0,3.0,,,,,,,1.0,,33,333,3.0,3.0,33,333,1.0,,,1.0,,,1.0,,,1.0,,,0.0,,3,0.26473872019620787,0.2450870932679307,0.2450870932679307,0.26473872019620787,0.2450870932679307,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.125,,271.67476242913654,292.96703078803614,209.1460929203135,0.0,2.1690614003030078,-0.0,0.0,63.53699231002677,274.85214663064323,305.7066666666667,288.8479821346531,,,False,False
14877,14877,101,12,1,c,2,308,0,z,260,Prac,5,XXX,X,1,1,2,0,0,2.0,0,1,0,0,332.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,,32,332,3.0,3.0,31,331,2.0,,,2.0,,,2.0,,,2.0,,,1.0,,3,0.23580419694101126,0.23580419694101126,0.23580419694101126,0.29258740917696624,0.23580419694101126,0.0004905115454071482,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.625,,310.5551816958278,300.3396214723291,209.1460929203135,38.27562823789974,0.0,-31.502945202220378,0.0,69.07033072341711,284.98910667941,290.1899441340782,268.70667592938184,,,False,False
14878,14878,101,12,1,c,2,273,1,c,273,Prac,5,XXX,X,1,2,0,1,0,2.0,1,0,1,0,322.0,2.0,2.0,3.0,,,,,,,1.0,,22,322,1.0,3.0,12,312,1.0,,,1.0,,,3.0,,,3.0,,,0.0,,3,0.255243861083141,0.23629704011935687,0.255243861083141,0.27216205867814525,0.23629704011935687,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.125,,271.67476242913654,295.29356087931683,209.1460929203135,0.0,2.1690614003030078,-0.0,5.131161649113748,65.2831191296559,281.72943509938614,305.7066666666667,295.88145766868354,,,False,False
14879,14879,101,12,1,m,4,284,1,m,284,Prac,5,XXX,X,1,4,2,1,0,4.0,0,0,0,0,224.0,4.0,2.0,2.0,,,,,,,4.0,,24,224,2.0,1.0,24,124,4.0,,,4.0,,,4.0,,,4.0,,,0.0,,2,0.22778858558964393,0.22778858558964393,0.28330959655629356,0.26111323226441846,0.22778858558964393,0.0005136144300293792,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.125,,310.5551816958278,302.5425679116016,209.1460929203135,38.27562823789974,0.0,-0.0,0.0,70.72370450707746,318.1454256652907,305.7066666666667,327.46120085435984,,,False,False
14880,14880,101,12,1,z,1,472,1,z,472,R,5,XXX,X,1,1,3,0,0,1.0,0,0,0,0,241.0,1.0,4.0,2.0,,,,,,,5.0,,41,241,4.0,2.0,41,241,5.0,,,5.0,,,3.0,,,3.0,,,0.0,,2,0.22867737486296327,0.22867737486296327,0.26338588534321505,0.26092350563355954,0.24701323416026214,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.125,,329.9953913291734,302.2945108323328,209.1460929203135,57.41344235684961,0.0,-0.0,0.0,70.5375306335765,337.0970659107396,305.7066666666667,346.24754559266535,,,True,False
14881,14881,101,12,1,z,1,246,1,z,246,P,5,XXX,X,1,1,0,1,0,1.0,1,0,0,0,411.0,1.0,1.0,4.0,,,,,,,1.0,,11,411,1.0,4.0,11,411,1.0,,,1.0,,,1.0,,,1.0,,,0.0,,2,0.24330172495348962,0.24330172495348962,0.2581933705228996,0.2558556057655881,0.2426492987580226,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.125,,271.67476242913654,298.3458164625277,209.1460929203135,0.0,2.1690614003030078,-0.0,0.0,67.57392351434092,278.88907783495745,305.7066666666667,288.8479821346531,,,True,False
14882,14882,101,12,1,m,4,365,1,m,365,R,5,114,H,1,4,3,1,0,4.0,0,0,0,1,114.0,4.0,1.0,1.0,,,,,,,3.0,,14,114,1.0,1.0,14,114,3.0,,,3.0,,,3.0,,,3.0,,,1.0,,1,0.2338771606348237,0.27158916065079486,0.24835558741427297,0.24617809130010854,0.2338771606348237,0.0005451140918034296,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.625,,329.9953913291734,300.8623180789435,209.1460929203135,57.41344235684961,0.0,-0.0,0.0,69.46262935164425,336.02216462880733,290.1899441340782,324.9936258978576,,,True,False
14883,14883,101,12,1,m,4,248,1,m,248,P,5,144,H,1,4,0,1,0,4.0,1,0,0,1,144.0,4.0,4.0,1.0,,,,,,,1.0,,44,144,4.0,1.0,44,144,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,1,0.24768593174654868,0.26592468928416585,0.24423130771982232,0.242158071249463,0.24768593174654868,0.00048410741340143646,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.625,,271.67476242913654,297.20820838049764,209.1460929203135,0.0,2.1690614003030078,-0.0,0.0,66.72011638341051,278.035270704027,290.1899441340782,267.5940624398454,,,True,False
14884,14884,101,12,1,m,4,295,1,m,295,R,5,444,R,1,4,0,1,1,4.0,1,0,0,0,444.0,4.0,4.0,4.0,,,,,,,1.0,,44,444,4.0,4.0,44,444,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,0.0,,4,0.2747921061227274,0.2560330724267968,0.23555527052885417,0.23361955092162168,0.2747921061227274,0.0006377701399259,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.125,,271.67476242913654,290.59288692486484,209.1460929203135,0.0,2.1690614003030078,-0.0,0.0,61.75513000414988,273.07028432476636,305.7066666666667,288.8479821346531,,,True,False
